type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,FGG,ASX,FGG,FUTURE GENERATION GLOBAL LTD,206163415,,AU000000FGG6,Q39694106,AUD,AU,T,F,e2924406,1
STK,FGH,ASX,FGH,FORESTA GROUP HOLDINGS LTD,647592626,,AU0000292112,Q55016101,AUD,AU,T,F,e1442162,1
STK,FGR,CHIXAU,FGR,FIRST GRAPHENE LTD,214124256,,AU000000FGR3,Q3860H107,AUD,AU,,F,e1442772,1
STK,FGX,ASX,FGX,FUTURE GENERATION AUSTRALIA,163715323,,AU000000FGX1,Q3969Y100,AUD,AU,T,F,e1442131,1
STK,FHE,ASX,FHE,FRONTIER ENERGY LTD,543621309,,AU0000207912,Q8800B128,AUD,AU,T,F,e1592420,1
STK,FHS,ASXCEN,FHS,FREEHILL MINING LTD,262391385,,AU000000FHS9,Q39565116,AUD,AU,,F,e1438902,1
STK,FID,ASX,FID,FIDUCIAN GROUP LTD,183334218,,AU000000FID9,Q3750N107,AUD,AU,T,F,e2745683,1
STK,FIN,ASX,FIN,FIN RESOURCES LTD,316339799,,AU0000009425,Q7151Q122,AUD,AU,T,F,e1438991,1
STK,FL1,CHIXAU,FL1,FIRST LITHIUM LTD,656369423,,AU0000297764,Q7108M109,AUD,AU,,F,e1442105,1
STK,FLC,ASX,FLC,FLUENCE CORP LTD,282739470,,AU000000FLC5,Q3918T103,AUD,AU,T,F,e1447441,1
STK,FLG,CHIXAU,FLG,FLAGSHIP MINERALS LTD,753434215,,AU0000379323,Y658AD108,AUD,AU,,F,e4029575,1
STK,FLN,ASXCEN,FLN,FREELANCER LTD,138392590,,AU000000FLN2,Q39564101,AUD,AU,,F,e1684341,1
STK,FLT,ASX,FLT,FLIGHT CENTRE TRAVEL GROUP L,14063411,,AU000000FLT9,Q39175106,AUD,AU,T,F,e1442368,1
STK,FLX,ASX,FLX,FELIX GROUP HOLDINGS LTD,464944840,,AU0000123879,Q3758J108,AUD,AU,T,F,e4158709,1
STK,FME,ASX,FME,FUTURE METALS NL,497190351,,AU0000157745,Q3969Z107,AUD,AU,T,F,e1443805,1
STK,FMG,CHIXAU,FMG,FORTESCUE LTD,34805876,,AU000000FMG4,Q39360104,AUD,AU,,F,e1440438,1
STK,FML,CHIXAU,FML,FOCUS MINERALS LTD,44201031,,AU000000FML4,Q39186152,AUD,AU,,F,e1438863,1
STK,FMR,ASX,FMR,FMR RESOURCES LTD,712371213,,AU0000340432,Q0454K108,AUD,AU,T,F,e1618364,1
STK,FND,ASX,FND,FINDI LTD,586261881,,AU0000241036,Q9340Y164,AUD,AU,T,F,e1442650,1
STK,FNR,ASX,FNR,FAR NORTHERN RESOURCES LTD,696177405,,AU0000291585,Q37436104,AUD,AU,T,F,e5574895,1
STK,FNX,CHIXAU,FNX,FINEXIA FINANCIAL GRP LTD,447270792,,AU0000107088,Q3917F104,AUD,AU,,F,e1439009,1
# STK,FNXN,ASXCEN,FNXN,FINEXIA FINANCIAL GRP LT-NEW,614072881,,AU0000262974,,AUD,AU,,F,e1439009,1
STK,FOS,ASXCEN,FOS,FOS CAPITAL LTD,495237594,,AU0000149312,Q39442100,AUD,AU,,F,e4343190,1
STK,FPC,ASX,FPC,FAT PROPHETS GLOBAL CONTRARI,270614266,,AU000000FPC6,Q3745Q116,AUD,AU,T,F,e3248022,1
